Nombre usuario    |   Cantidad de archivos con la extension: .text
root    |    0
daemon    |    0
bin    |    0
sys    |    0
sync    |    0
games    |    0
man    |    0
lp    |    0
mail    |    0
news    |    0
uucp    |    0
proxy    |    0
www-data    |    0
backup    |    0
list    |    0
irc    |    0
gnats    |    0
nobody    |    0
systemd-network    |    0
systemd-resolve    |    0
messagebus    |    0
systemd-timesync    |    0
syslog    |    0
_apt    |    0
_chrony    |    0
nm-openvpn    |    0
colord    |    0
speech-dispatcher    |    0
geoclue    |    0
gdm    |    0
gnome-initial-setup    |    0
tss    |    0
tcpdump    |    0
rtkit    |    0
whoopsie    |    0
usbmux    |    0
cups-pk-helper    |    0
avahi-autoipd    |    0
_flatpak    |    0
saned    |    0
dnsmasq    |    0
avahi    |    0
fwupd-refresh    |    0
uuidd    |    0
nahuelarn    |    0
mysql    |    0
